,g_otherprim,g_energy,g_procfoods
456,42.5315,15.6207,1949.0
457,217.236,85.4144,11141.0
458,21.1784,7.2193,702.863
459,1.1989,2.0194,1826.41
460,478.008,0.4361,296.858
461,26.3201,1260.34,181.775
462,2.3369,1.3163,4605.03
463,0.2392,0.4991,9.2674
464,0.1108,0.0852,0.4559
465,0.5972,0.2756,1.473
466,0.0083,0.0112,0.075
467,0.1361,0.3002,2.0856
468,4.3959,19.4855,305.745
469,5.0857,7.5655,118.755
470,1.086,8.2351,30.1171
471,0.1325,0.2086,1.6851
472,3.5963,7.9375,102.163
473,13.4824,1.1116,14.7231
474,10.5345,21.6388,142.859
475,1.0731,3.6708,14.8408
476,0.2011,0.412,10.9096
477,5.8155,69.1584,82.2959
478,19.798,29.9788,628.51
479,16.0612,39.1349,346.154
480,4.9113,17.302,87.242
481,35.4457,137.283,556.247
482,2.6503,1.8923,42.216
483,0.8804,3.1172,26.7804
484,10.9003,75.7418,415.767
485,13.3441,45.9066,248.118
486,3.6872,-0.7893,5994.91
487,2403.58,-1.9129,530.906
488,112.1,-1030.45,704.66
489,3.4052,-0.8395,10427.6
490,2.3716,-0.7512,37.0563
491,2.4358,-0.1998,21.6327
492,2.0819,-0.1747,18.9185
493,0.1952,-0.0421,1.4524
494,2.7941,-0.6175,36.2311
495,12.8191,-3.0359,340.661
496,67.9571,-2.6543,561.068
497,21.5115,-15.7752,91.1525
498,5.9934,-1.4036,49.0408
499,14.5757,-5.1692,261.853
500,4.8494,-0.6183,38.7031
501,40.6666,-12.8578,240.667
502,26.9068,-5.6834,308.556
503,52.8435,-1.0546,291.512
504,13.3069,-9.2295,129.553
505,99.1456,-33.2281,1392.46
506,65.1516,-17.7627,852.313
507,24.3329,-9.9919,262.289
508,116.735,-53.7547,1011.96
509,9.6665,-4.214,80.3871
510,54.4312,-19.4821,529.708
511,62.8335,-22.6053,604.991
512,32.5103,-14.3934,334.152
513,8.9831,0.7612,42.2609
514,34.1106,0.8621,1.6535
515,3.5264,77.7071,6.8315
516,0.9167,0.2317,91.3772
517,0.1602,0.0495,0.5105
518,0.0381,0.0187,0.1017
519,0.1034,0.049,0.2128
520,0.1829,0.0832,0.39
521,0.1054,0.1318,0.2787
