,iso3,year,sector_GMatrix,g_primaryagr,g_otherprim,g_energy,g_procfoods,g_bevtobacco,g_textiles,g_clothing,g_leather,g_lumber,g_paperpub,g_chemicals,g_nonmetmin,g_metals,g_fabmetals,g_transpequip,g_machinery,g_othermanuf,g_water,g_construction,g_distribution,g_transport,g_communcation,g_finance,g_insurance,g_obsict,g_oconsumer,g_oservices,sector_HMatrix,h_primaryagr,h_otherprim,h_energy,h_procfoods,h_bevtobacco,h_textiles,h_clothing,h_leather,h_lumber,h_paperpub,h_chemicals,h_nonmetmin,h_metals,h_fabmetals,h_transpequip,h_machinery,h_othermanuf,h_water,h_construction,h_distribution,h_transport,h_communcation,h_finance,h_insurance,h_obsict,h_oconsumer,h_oservices,DomVAshare,GXshare,DXshare,VXsharefwd,VXsharebwd
1429,svk,1997,oconsumer,4.1926,0.4221,-0.0258,8.3822,3.4874,2.18,3.7063,1.6062,1.5142,1.8575,2.1817,1.4833,2.3225,0.8922,3.3012,3.0055,0.5018,0.1945,3.2296,4.8758,4.4512,0.4351,0.9922,0.2799,3.856,164.759,10.2041,oconsumer,0.531,0.3171,0.4685,0.8679,0.2758,1.5371,2.0091,1.0239,1.3439,1.5115,1.5915,1.4334,2.3354,0.6585,2.8724,2.1234,0.1114,0.0039,0.181,0.2719,3.7486,0.0822,0.3636,0.1246,1.0348,23.2047,0.1843,0.369638,0.005055,0.006537,0.008298,0.006782
1456,svn,1997,oconsumer,3.4202,0.9503,2.1698,9.8151,3.7728,1.5837,2.3574,1.5692,3.8323,2.0655,3.8639,1.3551,2.4391,2.5661,4.6273,6.9146,1.1434,0.2697,6.8831,8.647,9.5948,1.0253,0.41,0.9011,7.8263,354.351,12.4262,oconsumer,0.3647,0.2474,1.0179,1.7606,0.3149,1.526,1.6163,1.1299,3.7134,1.5351,3.2964,1.1673,1.9599,1.7525,3.0827,6.124,0.3373,0.016,0.2392,1.2027,7.219,0.1983,0.0662,0.149,0.8773,26.5687,0.3726,0.545045,0.004778,0.008823,0.01192,0.006975
1591,tza,1997,oconsumer,0.0668,0.0294,0.0044,0.1004,0.0748,0.0072,0.1264,0.0042,0.0039,0.0046,0.0259,0.0048,0.0037,0.0114,0.0144,0.0074,0.0069,0.0002,0.0194,0.0661,0.0361,0.0073,0.0023,0.0006,0.1282,1.4713,0.2084,oconsumer,0.0153,0.0032,0.0002,0.0074,0.0025,0.0042,0.0167,0.0006,0.0005,0.0007,0.0037,0.0009,0.0038,0.0005,0.0005,0.0026,0.0064,0.0,0.0006,0.006,0.0225,0.0031,0.0021,0.0005,0.0745,1.1338,0.0043,0.207524,0.004847,0.001918,0.001426,0.002269
1618,uga,1997,oconsumer,0.0134,0.0044,0.0011,0.0032,0.0049,0.0001,0.0004,0.0001,0.0,0.0002,0.0,0.0,0.0004,0.0001,0.0,0.0001,0.0007,0.0002,0.0295,0.0196,0.0366,0.0002,0.0002,0.0006,0.0009,141.322,0.0157,oconsumer,0.002,0.0002,0.0006,0.0004,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0004,0.0,0.0,0.0001,0.0,0.0,0.0003,0.0004,0.0089,0.0001,0.0001,0.0003,0.0005,8.9537,0.0002,0.715746,0.016925,0.015459,0.013509,0.016075
1645,ury,1997,oconsumer,12.9306,1.9498,1.6899,32.7643,6.6545,4.758,4.0894,2.7965,0.9089,2.4013,7.4244,0.5717,0.4457,0.3479,1.0433,1.389,0.1315,0.8424,8.5194,20.8566,16.4498,1.4441,1.0,4.5822,2.6485,227.445,22.866,oconsumer,3.8655,0.9051,0.2376,10.0521,0.9008,3.1089,1.4103,1.9886,0.2683,0.6169,2.1857,0.4036,0.4399,0.054,0.2146,0.6193,0.0696,0.0091,0.0193,0.5246,7.3459,0.4646,0.4158,0.4375,1.0916,8.0113,0.3304,0.416277,0.00436,0.004048,0.013821,0.003991
1726,vnm,1997,oconsumer,0.4457,0.2925,0.8013,1.5798,0.9325,0.1139,0.7838,0.4267,0.5051,0.0683,0.2954,0.068,0.0235,0.0208,0.364,0.6449,0.1724,0.0619,7.75,0.5455,0.3242,0.0128,0.0798,0.0226,1.6253,330.444,10.9384,oconsumer,0.227,0.0829,0.6493,0.6837,0.0387,0.1026,0.7901,0.4842,0.4953,0.0336,0.2399,0.0872,0.0233,0.0215,0.1056,0.3681,0.098,0.0008,0.0561,0.1113,0.3461,0.0158,0.0421,0.0211,0.5898,14.4245,0.1009,0.673168,0.002297,0.005453,0.00447,0.003656
1753,zmb,1997,oconsumer,3.8448,2.561,0.4761,8.0652,1.8199,0.7914,1.1043,0.1144,0.1781,0.0238,-0.0001,0.3016,6.7035,0.148,0.1411,0.0796,0.5254,0.0824,3.3814,14.8453,10.9347,2.1772,1.8456,0.3522,2.4773,90.6808,5.6848,oconsumer,0.2979,0.214,0.5761,0.3256,0.0087,0.4918,0.0299,0.0103,0.0146,0.0051,0.0117,0.0409,7.0344,0.0531,0.0429,0.13,0.2439,0.0018,0.0913,0.5936,3.5954,0.1856,0.1861,0.1485,1.2878,7.3403,0.1062,0.726607,0.008843,0.024744,0.026516,0.010194
1780,zwe,1997,oconsumer,3.5141,0.0328,0.0098,1.4345,0.725,0.1692,0.0442,0.0149,0.0622,0.0156,0.029,0.1207,0.1773,0.1273,0.0196,0.0423,0.1855,0.0062,2.8879,1.159,0.8241,0.1629,0.755,0.1167,1.0191,15.3491,1.7767,oconsumer,2.6822,0.032,0.0011,0.2643,0.0247,0.055,0.0212,0.0118,0.0398,0.008,0.0308,0.0143,0.1831,0.0222,0.0131,0.025,0.0465,0.0001,0.0326,0.0464,0.2767,0.015,0.0458,0.0322,0.3578,3.8706,0.0364,0.583097,0.002537,0.00354,0.004431,0.002739
1807,alb,2001,oconsumer,1.4534,0.3728,0.4885,1.5773,0.0519,0.7209,1.0601,1.6202,0.7021,0.5383,0.1691,0.1847,0.06,0.9843,0.0664,0.6049,0.0793,0.0192,4.7085,9.8332,4.0374,2.0623,0.373,1.1632,4.4573,13.0427,2.7948,oconsumer,0.1424,0.1027,0.0112,0.0864,0.0068,0.3131,0.9202,1.4103,0.2407,0.1164,0.0702,0.0547,0.06,0.2843,0.0321,0.5224,0.061,0.0016,0.017,0.9176,2.1824,0.9778,0.0677,0.2139,0.4995,2.6173,0.2283,0.371201,0.007591,0.006444,0.020611,0.008565
1861,aus,2001,oconsumer,21.9108,21.2109,16.7836,65.1842,22.4962,4.9815,7.4196,1.9338,1.7261,13.4842,28.7528,1.5845,24.6212,2.8169,23.8894,19.8948,7.2919,4.3049,81.3804,451.896,56.4124,13.8685,25.2554,9.148,125.791,6666.87,418.272,oconsumer,14.1891,15.9782,12.9111,25.3889,6.4606,1.3815,0.7501,1.0964,1.6086,3.2924,14.0301,1.5626,24.821,1.1321,9.2439,11.314,2.022,0.1273,0.1368,15.8006,20.0193,2.0758,2.0658,1.2804,25.2895,707.682,5.6878,0.513286,0.017736,0.022328,0.015001,0.018335
